"url","fetch_time","content_mime_type","warc_filename","warc_record_offset","warc_record_length"
"http://m.arileht.delfi.ee/picture.php?url=https%3A%2F%2Fg.delfi.ee%2Fimages%2Fpix%2F800x500%2F43P2Yfe1X0M%2Famazon-80769713.jpg&article_url=http%3A%2F%2Fm.arileht.delfi.ee%2Fturundus%2Farticle.php%3Fid%3D80769703","2018-03-24 13:32:53.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257650685.77/warc/CC-MAIN-20180324132337-20180324152337-00100.warc.gz","178517625","6101"
"http://www.depts.ttu.edu/careercenter/employerspotlights/employerspotlight/amazon.php","2018-03-22 06:16:50.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647777.59/warc/CC-MAIN-20180322053608-20180322073608-00439.warc.gz","366529412","10321"
"https://fs.ttu.edu/adfs/ls/?wa=wsignin1.0&wtrealm=https%3A%2F%2Fmail.ttu.edu%2Fowa%2F&wctx=rm%3D0%26id%3Dpassive%26ru%3D%252fowa%252fredir.aspx%253fC%253dxWCCuAo670CVdPbUiRc6a8W-hQ4BjNAIsKtrh7yh9Mh8ZjxBtbpm5e7QzMsHJhz3EUCicEIUM2Y.%2526URL%253dhttp%25253A%25252F%25252Fwww.amazon.com%25252FThe-Creolization-American-Culture-Minstrelsy%25252Fdp%25252F0252037766&wct=2018-03-22T15%3A32%3A04Z","2018-03-22 15:32:04.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647892.89/warc/CC-MAIN-20180322151300-20180322171300-00726.warc.gz","573517681","5975"
"http://forte.delfi.ee/news/digi/amazoni-tippjuht-jeff-bezos-kujunes-rikkaimaks-inimeseks-maailma-ajaloos?id=80744185","2018-03-18 17:37:01.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257645830.10/warc/CC-MAIN-20180318165408-20180318185408-00326.warc.gz","115659312","28125"
"http://forte.delfi.ee/news/digi/uus-kindle-oasis-on-amazoni-esimene-veekindel-e-luger?id=79810606","2018-03-24 10:02:50.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257650188.31/warc/CC-MAIN-20180324093251-20180324113251-00682.warc.gz","103870281","28903"
"http://maakodu.delfi.ee/news/maakodu/maakodureisid/amazonase-ja-vihmametsa-lummuses?id=66305018","2018-03-22 14:07:41.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647885.78/warc/CC-MAIN-20180322131741-20180322151741-00407.warc.gz","175568062","30942"
"http://maitsed.delfi.ee/teemad/amazon","2018-03-19 16:26:33.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647003.0/warc/CC-MAIN-20180319155754-20180319175754-00692.warc.gz","184362628","9825"
"http://maitsed.delfi.ee/tervis/toiduraamat-amazoni-raamatupoes-loob-laineid-spermat-toidus-kasutav-kokaraamat?id=76023357","2018-03-20 15:54:46.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647498.68/warc/CC-MAIN-20180320150533-20180320170533-00636.warc.gz","189228023","19121"
"http://publik.delfi.ee/news/inimesed/milline-on-maailma-rikkaima-mehe-paevaplaan-amazoni-looja-jeff-bezos-leiab-aega-isegi-noude-pesemiseks?id=81389961","2018-03-23 18:44:16.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257648431.63/warc/CC-MAIN-20180323180932-20180323200932-00432.warc.gz","236960916","19855"
"http://rus.delfi.ee/daily/business/samym-bogatym-chelovekom-mira-stal-glava-amazon?id=81359045","2018-03-24 17:53:17.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257650764.71/warc/CC-MAIN-20180324171404-20180324191404-00790.warc.gz","247394635","19217"
"http://devclub.ee/lugu/amazon-aws/march-event-follow","2018-03-22 00:12:25.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647707.33/warc/CC-MAIN-20180321234947-20180322014947-00620.warc.gz","75084291","13317"
"http://devclub.ee/tag/amazon-aws","2018-03-22 00:09:09.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647707.33/warc/CC-MAIN-20180321234947-20180322014947-00260.warc.gz","77405709","14737"
"http://www.dv.ee/birzha/2018/02/16/amazon-voshel-v-trojku-samyh-dorogih-kompanij-mira","2018-03-20 17:47:49.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647519.62/warc/CC-MAIN-20180320170119-20180320190119-00492.warc.gz","364735258","42738"
"http://www.dv.ee/novosti/2008/01/28/amazon-com-ctanet-mezhdunarodnym","2018-03-24 23:46:45.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257651465.90/warc/CC-MAIN-20180324225928-20180325005928-00312.warc.gz","380047603","38938"
"http://www.dv.ee/novosti/2010/09/01/amazon-osvaivaet-biznes-videoprokata","2018-03-19 06:31:06.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257646602.39/warc/CC-MAIN-20180319062143-20180319082143-00597.warc.gz","343062201","39768"
"http://www.dv.ee/novosti/2017/06/16/amazon-sovershaet-krupnejshuju-v-svoej-istorii-sdelku","2018-03-23 17:24:06.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257648404.94/warc/CC-MAIN-20180323161421-20180323181421-00488.warc.gz","362603595","41806"
